CN1CCN(CC1)C(=O)Nc2ccc3c(c2)[C@@H](CCC3)NC(=O)c4ccccc4,2FC,4p6e
CNC(=O)O[C@H]1COc2ccc(cc2[C@@H]1NC(=O)c3ccc(cc3)F)N4CCN(CC4)C5COC5,2FZ,4p6g
c1cc(ccc1C#Cc2cc(ccc2Cl)c3c4c(n(n3)CCCN5CCOCC5)CCN(C4)C(=O)CO)Cl,599,3iej
[H]/N=C/c1cccc(n1)c2ccc(c(c2)C(F)(F)F)OCCCN3CCN(CC3)C,935,5qbz
CN1c2ccccc2N(C1=O)C3CCN(CC3)CCCn4c5c(c(n4)c6ccc(cc6)C(F)(F)F)CN(CC5)C(=O)c7cnc[nH]7,B8J,5qbu
CN1c2ccc(cc2N(C1=O)C3CCN(CC3)CCCN4C(=O)C(=CC=N4)c5ccc(c(c5)CNC(=O)c6ccc(cc6)F)Cl)Cl,B8S,5qbw
COc1ccccc1C2CCN(CC2)C[C@@H](Cn3c4c(c(n3)c5ccc(c(c5)SCCN6CCCCC6)C(F)(F)F)CNCC4)O,B8V,5qbx
CN1c2ccc(cc2N(C1=O)C3CCN(CC3)CCCN4C=CN=C(C4=O)c5ccc(c(c5)CNC(=O)c6ccc(cc6)F)Cl)Cl,B8Y,5qbz
CC1(CCN(CC1)C[C@@H](Cn2c3c(c(n2)c4ccc(c(c4)CNCc5ccc(cc5)F)C(F)(F)F)CN(CC3)S(=O)(=O)C)O)C,B9S,5qc1
c1cc(c(cc1c2c3c(n(n2)C[C@H](CN4CCCCC4)O)CCN(C3)C(=O)CO)SCCN5CCC(CC5)F)C(F)(F)F,B9Y,5qc3
CC(C)(C)C1CCN(CC1)CCCn2c3c(c(n2)c4ccc(c(c4)CNCc5ccc(cc5)F)C(F)(F)F)CN(CC3)S(=O)(=O)C,BAJ,5qc5
CC(=O)N1CCc2c(c(nn2C[C@@H](CN3CCC(CC3)C(C)(C)O)O)c4ccc(c(c4)SCC(=O)N5CCCC5)C(F)(F)F)C1,BC7,5qc4
CC1CCN(CC1)CCSc2cc(ccc2C(F)(F)F)c3c4c(n(n3)C[C@H](CN5CCC(CC5)N6C[C@H](CC6=O)O)O)CCN(C4)S(=O)(=O)C,BCJ,5qc6
CC1C(=C(NO1)C)CS(=O)(=O)C[C@@H](C(=O)N[C@@H](CCc2ccccc2)CCS(=O)(=O)c3ccccc3)NC(=O)N4CCOCC4,BCQ,2fye
CS(=O)(=O)N1CCc2c(c(nn2CCCN3CCOCC3)c4ccc(c(c4)C#Cc5cccc(c5)CNCc6ccccc6)Cl)C1,BFV,5qc8
CC(=CC(=O)NCc1cc(ccc1C(F)(F)F)c2c3c(n(n2)CCCN(C)C)CCN(C3)C(=O)CC4CCNCC4)C,BG7,5qc9
CS(=O)(=O)N1CCc2c(c(nn2CCCN3CCN(CC3)C4CC4)c5ccc(c(c5)C#Cc6ccc(cc6)CNCc7ccc(cc7)Cl)Cl)C1,BGJ,5qca
